iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
c custer wrote in asia tech news for the world on the latest statistic of mobile users in china the country s mobile phone users will break billion in february and about percent of china s mobile users are on g.	يكتب في مدونة اخبار اسيا التقنية للعالم عن اخر الاحصاءات لمستخدمي المحمول في الصين سيتعدى عدد المشتركين في خدمات التليفون المحمول حاجز مليار في فبراير شباط بالاضافة الى زيادة مستخدمي خدمات الجيل الثالث الى من مستخدمي خدمات المحمول
why don t argentinians like the british.	لماذا لا يحب الارجنتينيون البريطانيين؟
I left the rest to him and went out.	تركت الباقي عليه وخرجت.
perhaps the truths released in this story are too explosive for this particular group of characters to bear but ultimately the result may be positive for example for an audience and definitely for the storyteller.	ربما كانت الحقيقه التي تخرج في هذه القصه قاسية للغايه على هذه المجموعه من الشخصيات اقسى من قدرتهم على تحملها لكن في النهاية تكون النتايج ايجابيه بالنسبه للمشاهدين على سبيل المثال و قطعا بالنسبه لراوي القصه صانع الفيلم ذاته
Old habits die hard.	الطَبعْ يغلبُ التطبّع.
is it possible that the entire nation believes a concocted story from trash kurirvesti magazine based on fake email from imaginary person.	هل من الممكن ان تصدق امة باكملها قصة مختلقة من الزبالة؟ مجلة كورير اعتمدت على ايميلات مزيفة ارسلها شخص وهمي
flipboard adds global voices to local content guides global voices.	تطبيق فليب بورد يضيف تلقيمات الاصوات العالمية ضمن محتواه الاخباري الاصوات العالمية
the contest will progress through four main rounds in the first stage participants will send in their written abstracts by th january giving details of their video proposal and what inspired their story line the proposals will be judged by a panel of jurists where ideas will be shortlisted for the next round the list will be voted by the public and top ten favorites will be chosen finally the judges will pick the two best videos among the ten.	تتقدم المسابقة من خلال اربع جولات رييسية في المرحلة الاولى يرسل المتسابقون مقترحاتهم وافكارهم حتى من يناير كانون الثاني مقدمين تفاصيل عن مقترحات فيديوهاتهم وسبب الهام قصتهم سيتم التحكيم في المقترحات من خلال لجنه تحكيم وسيتم اعلان قايمة من افضل فكرة للجولة التالية يتم التصويت على القايمة من قبل العامة ويتم اختيار افضل افكار في النهاية تختار لجنة التحكيم افضل فيديو من بين العشرة
you can read about other fabrications and the french elections here.	يمكنكم قراءة المزيد عن الاخبار المزيفة والانتخابات الفرنسية عبر هذا الرابط
iranian leaders including the supreme leader ayatollah ali khamenei recently expressed their condolences to hezbullah s chief hassan nasrallah after the killing of imad mughniyeh one of the militant group s top commanders hailing him as a great man.	الزعماء الايرانيين بما فيهم المرشد الاعلى اية الله علي خامنيي عبروا موخرا عن تعازيهم لزعيم حزب الله السيد حسن نصر الله بعد اغتيال عماد مغنية احد ابرز زعماء الحزب العسكريين ووصفوه بانه كان رجل عظيم
why don t the british like to sit on their hands.	لماذا لا يحب البريطانيون الجلوس على ايديهم؟
The answer is right.	الجواب صحيح.
He likes fishing.	إنه يحب الصيد.
local media reports that it was done to facilitate transhipment of indian goods on heavy vehicles as the existing roads and bridges are damaged and cannot bear the load of these huge carriers netizens are outraged by the developments.	يقول الاعلام المحلي عن سبب انشاء الطريق هو تسهيل نقل البضاعة الهندية على المركبات الثقيلة وذلك بسبب تحطم وضعف الطرق والكباري الموجودة وعدم قدرتها على تحمل الاحمال والاوزان الثقيلة للحاويات والناقلات الضخمة يعبر مستخدمي الانترنت عن غضبهم من تلك التطويرات
storymaker is developed by free press unlimited the guardian project and small world news the app is now available in both english and arabic everyone can introduce new translations enabling many more people worldwide to use storymaker.	تم تطوير تطبيق ستوري ميكر عبر فري برس انليميتيد ذي جارديان بروجيكت وسمول ورلد نيوز التطبيق متاح الان باللغتين الانجليزية والعربية يمكن للجميع المشاركة في ترجمات جديدة لاتاحة الفرصة امام المزيد من الناس لاستخدام ستوري ميكر
How do you know that?	كيفَ تعلمين هذا؟
A woman without a man is nothing.	المرأة بلا رجل لا شيء.
read about global voices participation in the storymaker project.	تعرفوا على دور الاصوات العالمية في مشروع ستوري ميكر
I can't live that kind of life.	لا أستطيع أن أعيش حياةً كتِلْك.
do not be a silent devil.	لا تكن شيطان اخرس
It is no use trying to solve this problem.	لا فائدة من محاولة حل هذه المسألة.
I can play tennis.	بإمكاني أن ألعب التنس.
You had to come yesterday.	كان عليك المجيء البارحة.
esther mujawayo source screenshot of the live broadcast.	استير موجاوايو المصدر لقطة ماخوذة من البث المباشر
people use plastic bags in pakistan and only of these bags are properly disposed off informs rai muhammad azlan shahid while advocating for banning them.	يقول راي محمد ازلان شاهد من الباكستانيين يستخدمون الاكايس البلاستيكية فقط من هذه الاكياس يتم التخلص منها بصورة صحيحة داعيا الى منعها
How much did the tickets cost?	كم كلّفت التذاكر؟
Am I wrong?	هل أنا مخطئ؟
i believe in the power of why questions are more important than answers because they can lead to discovery and understanding doing things as they ve always been done holds no interest for me we have access to research that proves how traumatic violence can be for children buying into the spare the rod spoil the child ideology makes as much sense to me as smoking cigarettes and hoping you won t get cancer.	اومن بقوة السوال لماذا؟ الاسيلة مهمة اكثر من الاجوبة لانها تقود باتجاه الاكتشاف والفهم اعادة القيام بالاشياء بنفس الطريقة المكررة لايثير الاهتمام لدي استطعنا الوصول الى بحث يثبت كيف ان العنف قد يشكل صدمة لدى الاطفال ان المنطق في ايديولوجية ابعاد العصا يفسد الطفل مساو للمنطق الذي يحمله املك بالا تصاب بالسرطان عند شرايك علبة تبغ
a group of omani citizens have come together in a project to draft an omani ethics code for electronic publishing they have begun an outreach campaign inviting input from different people.	تذكر ان هناك حوار الكتروني بين مستخدمي الانترنت والمسيولين في السعودية تتيح قناة حوارات المملكة المواطنين السعوديين ابراز العديد من الشيون وطرحها على المسيولين
on uncut a blog hosted by index on censorship two important highlights saudis warn uk over human rights probe and how egypt is stifling its film industry.	على مدونة والتي يستضيفها موقع موشر الرقابة يوجد موضوعين مهمين انتقاد السعودية لما تراه انتهاكات المملكة المتحدة لحقوق الانسان و كيف تخنق الدولة المصرية صناعة السينما بها
submit upload your performances and submit them to join the youtube symphony orchestra.	ارسل ارسل تسجيلا لادايك لتنضم لاوركسترا يوتوب الافتراضية
this article by jason strother for the world originally appeared on pri org on january and is republished here as part of a content sharing agreement.	نشر هذا المقال لجايسون ستروثر عن صفحة العالم بالاصل على في يناير كانون الثاني وتتم اعادة نشره هنا كجزء من اتفاق تبادل المحتوى
there s a historical relationship between russia and the assad regime dating back to the cold war the soviet union sold weapons to the syrian dictatorship and syrian students often studied in russia or other eastern bloc countries a soviet naval base was established in tartus russia s only base in the mediterranean syria was a russian asset and putin has revitalised that relationship russian bombs keep assad in power and russia protects its client state at the security council in the same way the us protects israel.	هناك علاقة تاريخية بين روسيا ونظام الاسد يعود تاريخها الى الحرب الباردة فقد باع الاتحاد السوفييتي اسلحة للنظام الدكتاتوري السوري وغالبا ما كان الطلاب السوريون يدرسون في روسيا او في دول الكتلة الشرقية الاخرى وكذلك اسست قاعدة بحرية سوفييتية في طرطوس وهي القاعدة الروسية الوحيدة في البحر الابيض المتوسط ولطالما كانت سوريا رصيدا لروسيا وقد اعاد بوتين تنشيط تلك العلاقة فالقنابل الروسية تبقي الاسد في السلطة وتحمي روسيا دولتها العميلة في مجلس الامن بنفس الطريقة التي تحمي بها الولايات المتحدة اسراييل
The people of Boston hated the British soldiers.	كره أهل بوسطن الجنود البريطانيين.
Bring it to me.	أحضرها لي.
There's been an accident.	حصل حادث.
amina s story deeply touched and outraged moroccan netizens who have been using the twitter has tag ripamina to mourn the young girl here are some reactions.	قصة امينة مست مشاعر مستخدمي الانترنت المغاربة بعمق مغضبة الاكثرية منهم الذين اخذوا في استخدام الوسم الرحمة لامينة لينعوا من خلاله الفتاة الشابة هنا بعض ردود الافعال
I'm not the problem.	أنا لست المشكلة.
digital report en digitalreporten july.	اغلقت اذربيجان قناة عقب اعلانها عن مقابلة مع فتح الله كولن
I rushed out to see what was going on.	انا خرجت مسرعا لارى ماذا حدث بالخارج
I know his name.	أعرف اسمه.
I want a list of all Tom's relatives.	أريد قائمة بجميع أقارب "توم".
palestine.	فلسطين
Who wrote this book?	من كتب هذا الكتاب؟
an insider was quoted by communist party newspaper people s daily as saying.	ونقلت صحيفة الشعب اليومية التابعة للحزب الشيوعي عن مصدر داخلي
lebanon claim your parking spot global voices.	لبنان طالبوا بمواقف لسيارتكم الاصوات العالمية
mass indignant protest in athens image by endiaferon copyright demotix.	تظاهرة ساخطة ضخمة في اثينا الصورة ل انديافيرون جميع الحقوق محفوظة لديموتركس
you may wonder were there not any women on the street at the time well according to noha only one woman volunteered to help her and her way of help was as follows she said to noha never mind my girl let him go just don t humiliate yourself like that.	قد تتساءلون لم يكن هناك نساء في الشارع حينها؟؟ حسنا طبقا لما قالته نهى تبرعت امراة واحدة لمساعدتها ومساعدتها كانت كالاتي قالت لنهى لا تهتمي يا ابنتي دعيهم يذهبون لا تهيني نفسك هكذا
brexit heartbroken but not broken global voices.	خروج بريطانيا من الاتحاد الاوروبي القلب مفطور ولكن الهمة عالية الاصوات العالمية
It's over between us.	لقد انتهي الأمر بيننا
I assume the two of you know each other.	أفترض أنكما تعرفان بعضكما.
my thoughts are with all the victims of today s and yesterday s horrific attacks and my thoughts are with all those who will suffer serious discrimination as a result of the actions of a few mass murderers and the general failure of humanity s imagination to see itself as a unified entity.	اود ان استذكر ضحايا الهجمات الفظيعة التي حدث بالامس واليوم في مصابها الاليم كما اود ان استذكر كل الذين سيعانون من التمييز كنتيجة افعال قامت بها مجموعة من المجرمين القتلة وكنتيجة فشل الانسانية في تخيل نفسها على انها كيان واحد وموحد
h naderifar worries fa that.	يعبر همايون نادري فر عن مخاوفه
the mosque of djafarabe in fula territory.	مسجد دجافارابي في اقليم فولا
Don't add sentences from copyrighted sources.	لا تضف جملا من مصادر محفوظة الحقوق.
save iphone battery kill wifi kill gps kill push notifications kill bluetooth turn down brightness shut down extraneous apps.	حفظ بطارية الاي فون غلق الواي فاي غلق جهاز تحديد المواقع غلق اخطارات الدفع غلق البلوتوث اخفض درجة سطوع الشاشة ايقاف التطبيقات
in venezuela i bought with my money a pana shirt.	في فنزويلا اشتريت باموالي قميص بانا
rehab el bakry tweeted regarding the egyptian press syndicate report.	ونشرت رحاب البكري اخبارا من نقابة الصحفيين
I like this city very much.	هذه المدينة تعجبني جداً.
the missing person is peng dehuai who was a prominent chinese communist military leader he was prosecuted during the cultural revolution and died in prison in.	الشخصية المفقودة هنا هو بينغ ده هواي قايد عسكري بارز في الجيش الشيوعي الصيني حوكم اثناء الثورة الثقافية وتوفي بالسجن عام
Shouldn't you overlook his indiscretions and forgive him?	ألا يجدر بك أن تتجاهل أخطاءه و تسامحه.
why are estonians slow.	لماذا الاستونيون بطييون؟
rightscon manila march.	موتمر في مانيلا بين مارس اذار
euglidesgarcia in venezuela there are troubles to access blogger pages and no one gives answers or possible reasons for this situation.	هناك مشاكل في الوصول لمدونات بلوجر في فنزويلا ولا احد يجيب اي اسيلة او يعطينا اسبابا تشرح هذه المشاكل
although all of italy is saddened by the tragedy compounded by morosini s youth and personal struggles several controversies persist valentin pauluzzi writes fr on the site calciomio fr.	رغم ان ايطاليا باكملها حزينة لهذه الماساة وعلى شباب موروسيني وماسيه الشخصية الاخرى فان العديد من الخلافات ما زالت مستمرة فلانتين بيلوزي يكتب في موقع كالتشوموي
She hated him.	كرهته.
when i started in there were just a handful of bloggers writing about morocco in english now there are culture blogs travel blogs personal blogs blogs about news and politics both by moroccans and others by lovers of morocco.	عندما بدات في عام لم يكن هناك سوى حفنة من المدونين يكتبون عن المغرب باللغة الانكليزية الان هناك مدونات ثقافية ومدونات سفر ومدونات شخصية ومدونات متخصصة بالاخبار والسياسة سواء من قبل المغاربة او غيرهم من محبي المغرب
with an eye on the future first nations in canada are switching from audio cassettes to digital global voices.	مع عين على المستقبل الانتقال من اشرطة الكاسيت الى العالم الرقمي في كندا الاصوات العالمية
artwork in support of the i am my own guardian campaign credit artist mssaffaa.	صورة للفنانة السعودية
I like studying languages.	أحب تعلم اللغات.
I'm old enough to drink.	أنا كبير بما يكفي لأشرب.
two weeks after coming back from a journey to her motherland philippines after travelling thirty cities nine countries and three continents justine abigail posts about her travel adventures in i don t think i ve left any part of myself there but rather i ve found pieces of myself.	اسبوعين بعد العودة من رحلة الى وطنها الام الفلبين بعد السفر الى ثلاثين مدينة وتسع دول وثلاث قارات تنشر عن مغامرات رحلتها في قايلة لا اعتقد اني تركت اي جزء مني هناك ولكن في حقيقة الامر فاني وجدت اجزاء من نفسي
jordanian roba al assi attended a concert by legendary lebanese singer fairuz and here s her preview of the event.	تخبرنا المدونة الاردنية ربا العاصي انكليزي عن حضورها لحفلة المغنية اللبنانية الاسطورة فيروز وتنشر هنا رويتها للحدث
You can't be serious.	لا يمكن أن تكون جاداً.
twitter user eh b has posted several photos on twitter of a car explosion near the french embassy today around am local time in tripoli libya.	نشر مستخدم تويتر العديد من الصور على تويتر لانفجار سيارة بالقرب من السفارة الفرنسية هذا اليوم حوالي الساعة السادسة وخمسين دقيقة بالتوقيت المحلي في طرابلس بليبيا
I am from Russia.	أنا من روسيا.
on october the nobel prize in literature was awarded to american singer and musician bob dylan for having created new poetic expressions within the great american song tradition.	في اكتوبر تشرين الاول حاز الفنان الامريكي بوب ديلن على جايزة نوبل للادب لـ ابتكاره تعابير شعرية جديدة ومتاصلة في الارث العريق للاغنية الامريكية
on july authorities used batons and tear gas to prevent protesters calling for political and judicial reforms from organising a sit in outside the cabinet building.	واستخدمت السلطات الهراوات وقنابل الغاز لمنع المتظاهرين الذين ينادون باصلاحات سياسية وقضايية من تنظيم اعتصام خارج مبني مجلس الوزراء
Your success is the result of your hard work.	نجاحك يعود لاجتهادك في عملك.
there are a lot of brave actions happening more and more girls posting videos of themselves driving and more and more men are joining us she says we ll continue campaigning using all the tools that we can.	كما قالت ان الكثير من المبادرات الشجاعة تحدث؛ فالمزيد والمزيد من الفتيات ينشرن مقاطع فيديو وهن يقدن سيارات كما ان المزيد من الرجال يدعموهن وسنستمر فى الحملة مستخدمين كل الوسايل الممكنة
Write your address, please.	اِكتب عنوانك من فضلك.
digital citizen is a biweekly review of news policy and research on human rights in the arab world this volume looks at repression in kuwait ddos attacks in lebanon and much more.	تقرير المواطن الرقمي هو استعراض للاخبار والسياسات والابحاث المتعلقة بحقوق الانسان والتكنولوجيا في العالم العربي ينشر كل اسبوعين سجل بالقايمة البريدية
we in the west with our flush toilets and toilet paper and sparkling shower stalls are the exception the rest of the world thinks a bathroom is a wet smelly place when they have a bathroom at all a good toilet means you probably have a very good quality of life so enjoy yours happy world toilet day.	نحن في الغرب بمراحيضنا القابلة للدفق مع المحارم الورقية والحمام المجهز بالدوش المتلالا نكون استثناء؛ بقية العالم تنظر للمرحاض بانه ذلك المكان الرطب الكريه الرايحة ذلك اذا كان لديهم مرحاض بكل الاحوال المرحاض الجيد يعني انك تمتلك مستوى حياة جيد استمتع به يوم مراحيض عالمي سعيد
and in nearby jordan people too gathered to show support and solidarity with the besieged people of daraa miliananet shares this video to show part of the protest.	وقفة تضامنية لاهالي الاردن مع اخوانهم في سوريا خاصة اوليك المحاصرين في درعا ههنا جزء من التظاهرة حملها
The woman is reading.	المرأة تقرأ
johnny barnes is an year old citizen of bermuda who every morning spends hours waving and greeting people just to let them know that they are loved the documentary by matt morris films mr happy man shows what an important part of the island he s become via neatorama.	جوني بارنز البالغ من العمر عام مواطن من برمودا يقضي كل يوم ست ساعات ملوحا بيده تحية للناس فقط ليشعرهم بانهم محبوبين يوضح هذا الفيلم الوثايقي من انتاج مات موريس فيلم مستر هابي مان او الرجل السعيد كيف اصبح هذا الرجل جزءا هاما من الجزيرة بواسطة
I bought her a clock.	ابتعتُ لها ساعة.
the earliest forms of newspaper were handwritten and now the musalman probably is the last handwritten newspaper in the world this urdu language newspaper was established in by chenab syed asmadullah sahi and has been published daily in the chennai city of india ever since.	اوايل النسخ من الصحف قديما كانت تكتب بخط اليد وفي الوقت الحالي تعد صحيفة ذا مسلمان المسلمون على الارجح اخر صحيفة تكتب بخط اليد في العالم تاسست الصحيفة الناطقة بلغة الاردو عام من قبل السيد شيناب سعيد اسمد الله ساهي وهي تنشر وتوزع يوميا في مدينة شيناي الهندية منذ ذلك الوقت
several iranian bloggers reacted with irony to the news that mahmoud ahamadinejad iran s president became a target of an angry shoe thrower during a speech in the northern city sari on december.	سخر العديد من المدونين الايرانيين تجاه ما تردد من انباء حول الرييس الايراني محمود احمدي نجاد والذي كان هدفا لالقاء الحذاء عليه وذلك اثناء خطابه بمدينة ساري بشمال البلاد ديسمبر كانون الاول من العام
See you at home.	أراك في البيت
caribbean e waste ethics global voices.	الكاريبي مبادي المخلفات الالكترونية الاصوات العالمية
Muslims believe that there is only one God.	يؤمن المسلمون أنّه هناك ربّ واحد فقط.
The painting is all but finished.	مازال الرسم بعيدا عن الاكتمال.
qatar salaries and cars global voices.	قطر الرواتب والسيارات الاصوات العالمية
his case has spawned unprecedented support from inside morocco and all over the world one letter from sixty human rights groups calls for anouzla s immediate release and an end to judicial and media harassment against him now lakome com and several mirrors of the site have been reported blocked in the country.	حازت قضيته على دعم غير مسبوق داخل المغرب ومن كل انحاء العالم نادى خطاب وقعه ستون منظمة حقوقية بالافراج عن علي انوزلا وانهاء التعرض الاعلامي والقضايي ضده وردت تقارير عن حجب موقع لكم كوم ونسخ اخرى من الموقع في المغرب
syria.	سوريا
egypt military court refuses alaa abdel fattah s appeal global voices advox.	مصر رفض النيابة العسكرية الاستيناف المقدم من علاء عبد الفتاح الاصوات العالمية
as many have observed the world is at a crucial moment when it comes to internet freedom in many countries around the world new laws are being created to censor the internet while bloggers are increasingly at risk for speaking out.	كما لاحظ الكثيرون يمر العالم بلحظة عصيبة عندما يتعلق الامر بحرية الانترنت في كثير من البلدان حول العالم تم اعداد وسن قوانين جديدة للرقابة على الانترنت بينما يزداد الخطر على المدونين الذين يتكلمون بدون خوف
We played soccer yesterday.	لعبنا كرة القدم بالأمس.
the page continues with the description of the facade.	تستمر الصفحة في وصف الواجهة
troubling perceptions of climate change.	تصورات مثيرة للقلق بخصوص تغير المناخ
although there is no official information about his illness rumours have suggested a stroke or heart attack uzbekistan will be on edge ahead of celebrations marking a quarter of a century of independence for the central asian country next week.	على الرغم من عدم صدور معلومات رسمية عن مرضه وتواردت بعض الاشاعات التي تفيد بتعرضه لازمة قلبية تتفاوت المشاعر في اوزباكستان قبيل احتفالات ذكرى مرور ربع قرن على استقلال اوزبكستان والمقرر عقدها الاسبوع القادم
destruction darkness and death are the culture of terrorists while construction light life and art are our own.	ان الدمار والظلام والموت هي ثقافة الارهابيين اما البناء والنور والحياة والفن فهي ثقافتنا
gender identity is not only defined by the legal papers the evolution of the person and his her perception of his her gender should be taken into consideration homosexuality is an exception to the norms but not unnatural therefore article which prohibits sexual relations that contradict the laws of nature cannot be used against homosexuals and therefore technically homosexuality is not illegal.	لا تعرف الهوية الجنسية من خلال الاوراق القانونية فقط ينبغي ان يوخذ بالاعتبار تطور الشخص وتصوره عن نفسه المثلية الجنسية استثناء من القواعد ولكنها ليست بالشيء غير الطبيعي لذالك لا يمكن استخدام المادة التي تحظر العلاقات الجنسية التي تتعارض مع قوانين الطبيعة ضد مثليي الجنس بالتالي المثلية الجنسية ليست غير قانونية
I need more time to finish my homework.	أحتاج لمزيد من الوقت لأنهي واجبي المدرسي.
read and participate on the rising voices blog for news about grantees case studies of projects and news from our working groups please leave a comment if there is something you find interesting.	قراءة والمشاركة في مدونة الاصوات الصاعدة لمتابعة اخبار الحايزين على المنح ودراسات عن المشاريع القايمة واخبار عن مجموعات العمل يرجة ترك تعليق في حالة وجود شيء حاز الاهتمام
You look sick.	يبدو عليك المرض.
why are the japanese thin.	لماذا اليابانيون رشيقون؟
for all the years that a national internet project has been discussed iranian media agreed on at least one thing there is a cloud of ambiguity over project.	منذ اعوام ومنذ بدء مناقشات مشروع الانترنت القومي اتفق الاعلام الايراني على الاقل على شيء واحد وجود غموض حول المشروع
I can't come up with a plan right now.	لا أستطيع ابتكار خطة الآن.
a giant crocodile in southern philippines and crocodiles in the flooded waters of thailand and cambodia were among the top news topics in southeast asia in the last quarter of the year.	تصدرت اخبار التمساح العملاق بجنوبي الفلبين وتماسيح الفيضانات بتايلاند وكمبوديا اهم الموضوعات بجنوب شرق اسيا في الربع الاخير لهذا العام
the shoe throwing former textile worker identified as rashid s reportedly missed his target but attendees pounced on him and beat the man until security forces intervened iranian media tried to spin the event in a negative light and claimed the same man had previously thrown objects at a former president meanwhile bloggers tried to sort fact from fiction.	الرجل الذي القى الحذاء هو عامل نسيج سابق اسمه رشيد س ولم يوفق في اصابة هدفه ولكن الحضور قفزوا عليه وانهالوا عليه ضربا حتى تدخلت قوات الامن وقد حاولت وسايل الاعلام الايرانية تصوير الحدث بشكل سلبي وادعت ان نفس الرجل كان قد قام بالقاء اشياء على رييس سابق في الوقت نفسه فقد حاول المدونون استخلاص الحقيقة مما يروى
This story is based on a true story.	هذه القصة مُستمّدة من قصّةٍ واقعية.
parvita from a point of view of a young indonesian professional talks about why she doesn t want to leave indonesia to work in a foreign country.	المدونة برافيتا تتحدث من وجهة نظر مهنية اندونيسية حول لماذا لا تريد ان تغادر اندونيسيا للعمل في بلد اجنبي
There is no question about it.	لا شك في ذلك.
faine opines uploads photos of the forced eviction of residents and the demolition of their homes in borei keila in phnom penh cambodia.	قام فاين اوبينز برفع صور للترحيل الجبري للسكان وازالة منازلهم في منطقة بوري كيلا في بنوم بنه كمبوديا
who hasn t heard this or some of its variations.	من منا لم يسمع هذه الجملة او اخرى مثلها؟
this piece was originally published in spanish in el diario it was translated into english and given additional context by joey ayoub.	تم نشر هذا المقال اصلا بالاسبانية في صحيفة ال دياريو تمت ترجمته الى الانكليزية وتحريره من قبل جوي ايوب
I lost my key.	أضعت مفتاحي.
new drone footage provides a rare aerial view of the mysterious plain of jars in north laos.	تعرض صور جديدة ماخوذة من طايرة بدون طيار روية جوية نادرة لسهل الجرار الغامض في شمال لاوس
It was probably not true.	كانت على الأرجح غير صحيحة.
They eat with a knife and fork.	يأكلون بالشوكة و السكين.
shiva temple in vikrampur image courtesy bangladesh unlocked.	معبد شيفا في بيكرامبور الصورة من مدونة استكشاف بنجلاديش
What time did you eat?	متى أكلت؟
i discovered this blog bg by chance the title read hepatitis minded thoughts of a contaminated and it was moving to get that close to someone s everyday fight with hepatitis c this awful and insidious illness the words were simple yet sharp and touching bg.	لقد وجدت هذه المدونة بالصدفة عنوانها التهاب الكبد الوبايي سي في الفكر افكار انسان مصاب كان موثرا للغاية بحيث يقربنا الى المعاناة اليومية لشخص يصارع مرض التهاب الكبد الوبايي سي هذا المرض الفظيع والخبيث كانت الكلمات بسيطة لكنها واضحة وموثرة
post author mahsa alimardani imagines playing pokemon go in in front of azadi square in tehran holding the game up to a picture of the monument screencapture by mahsa alimardani.	تتخيل كاتبة هذه المقالة انها تلعب بوكيمون في طهران تم تعديل صورة للعبة على صورة برج ازادي
Any student can answer that question.	أي طالب يمكنه الرد على هذا السؤال.
This is not my car.	هذه السيارة ليست ملكي
